time,callsign,parameter,x,y,maneuvering_time,maneuvering_parameter,time_offset,condition,WTC,flight level,head,velocity,cas,heading,altitude,drct,sknt,skyl1,distance_to_changi,bearing_to_changi,is_peakhour,is_planroute,num_planroute,nearest_wp,nearest_wp_dist_km,num_other_plane,duration
6798,EVA6029,220,104.1062125,1.400390547,6832,220,34,,2,0,0,1,252.4324448,203.1699519,7987.5,,2,1800,13.99857319,249.8401237,0,True,9.0,POSUB,6.790671355,6,3.5520000000005894
6871,AIQ359,220,104.1282758,1.469467822,6879,230,8,,1,0,0,1,257.8801116,177.6327555,8975.0,,2,1800,19.98860973,231.2719237,0,True,9.0,POSUB,1.398002422,7,3.4880000000002838
9896,TLM100,220,104.0938295,1.371734496,9928,230,32,,1,0,0,1,254.3575972,204.0506885,8250.0,310.0,4,1800,11.87790782,262.0727839,0,True,9.0,VTK,9.310548877,15,4.096000000001368
10097,AWQ658,220,104.2329808,1.147842344,10130,210,33,,1,0,0,1,242.3792312,265.8436378,8257.142857,310.0,4,1800,35.81336037,310.4991381,0,True,4.0,IGNON,1.91522237,17,3.4880000000011933
10201,AXM1775,250,104.3194218,1.153839044,10237,240,36,,1,0,0,1,273.139713,265.7199903,8625.0,310.0,4,1800,43.21778501,301.5178961,0,True,4.0,RUVIK,9.808082442,17,4.906670000000304
10329,AXM1775,220,104.1538948,1.141786706,10346,210,17,,1,0,0,1,242.0942061,265.5467821,5950.0,310.0,4,1800,30.21244731,322.3819228,0,True,2.0,BTM,2.410493168,18,7.55199999999968
11201,JSA780,250,104.4591917,1.163852401,11228,240,27,,1,0,0,1,277.1366981,268.9170895,10725.0,310.0,4,1800,56.61339567,292.299287,0,True,4.0,LAVAX,0.590199053,17,4.608000000000175
11299,JSA780,220,104.3265506,1.154448912,11349,200,50,,1,0,0,1,241.7544126,265.8860823,8975.0,310.0,4,1800,43.86048425,300.901304,0,True,4.0,RUVIK,9.56452518,17,6.368000000000393
11354,THA403,220,104.1062084,1.695618611,11371,230,17,,2,0,0,1,259.7603611,179.9442671,10050.0,310.0,4,1800,39.87944232,199.238869,0,True,9.0,NYLON,8.822420641,17,3.1679999999996653
11440,SIA1,7000,104.1166029,1.425080281,11450,7000,10,,2,1,0,0,216.9362736,204.8917955,8025.0,310.0,4,1800,16.17642837,242.0985729,0,True,9.0,POSUB,3.82582714,17,2.7839999999996508
11507,THA403,7000,104.1223661,1.507598776,11520,7000,13,,2,1,0,0,226.5235503,171.9949473,9050.0,310.0,4,1800,22.43905621,221.7325456,0,True,9.0,POSUB,5.665160673,18,3.4879999999993743
11553,AXM1793,200,104.4170418,1.16088856,11578,200,25,,1,0,0,1,212.4180597,265.8654377,10100.0,310.0,4,1800,52.44435655,294.574578,0,True,4.0,LAVAX,4.114358275,19,2.912000000000262
11636,THA403,200,104.0902915,1.363769509,11678,200,42,,2,0,0,1,221.3568025,202.6387326,7425.0,310.0,4,1800,11.39597718,266.213917,0,True,9.0,VTK,9.477499633,19,3.808000000000902
11665,AXM1793,260,104.3001266,1.152400542,11676,260,11,,1,0,1,0,195.9236191,266.0309013,8550.0,310.0,4,1800,41.49182286,303.25454,0,True,4.0,IGNON,9.405128696,19,3.040000000000873
11886,UBA001,7000,104.1185208,1.535059903,11902,7000,16,,1,1,0,0,275.4539343,171.8469803,9025.0,330.0,4,1800,24.54617513,216.2349898,0,True,9.0,BIPOP,6.068010651,19,3.8400000000001455
12043,UBA001,4000,104.0788397,1.335800104,12056,3000,13,,1,1,0,0,246.0307043,203.5467737,7025.0,330.0,4,1800,10.36962338,283.1409611,0,True,9.0,RWY 02C DER,9.328167569,19,3.77599999999984
13168,VJC811,4000,104.0982056,1.381623801,13200,2500,32,,1,1,0,0,215.1929167,202.2375708,7025.0,330.0,4,1800,12.55305036,257.4028236,0,True,9.0,POSUB,9.049003281,19,4.390400000000227
13714,HVN651,280,104.0885609,2.194270715,13742,280,28,,1,0,0,1,235.50176,175.3176425,18525.0,,3,1800,93.76870148,186.8471005,0,True,9.0,PASPU,22.93684956,20,3.5712000000003172
14111,HVN651,7000,104.1158953,1.548980679,14142,2500,31,,1,1,0,0,287.8913264,171.4948245,11000.0,,3,1800,25.64803397,213.6642356,0,True,9.0,BIPOP,6.849239281,18,5.683199999999488
15779,CTV510,220,104.7326194,1.012664661,15804,220,25,,1,0,0,1,280.6767723,298.5157748,11200.0,180.0,5,1800,91.20601664,294.8293263,0,False,,KEXAS,19.36727295,16,3.5626699999993434
15862,PAL507,90,104.3672759,1.156776398,15866,90,4,,1,0,1,0,243.951779,264.4370733,9425.0,180.0,5,1800,47.68050113,297.8397824,0,True,4.0,RUVIK,9.547845577,16,11.968000000000757
15917,CPA759,220,104.1051193,2.104952373,15931,220,14,,2,0,0,1,256.0480734,179.827918,16675.0,180.0,5,1800,84.18102025,188.8973209,0,True,9.0,PASPU,12.98738418,16,3.7400000000016007
15925,CTV510,10000,104.5705245,1.10087581,15948,10500,23,,1,1,0,0,215.4731879,298.7278341,11075.0,180.0,5,1800,70.74459772,293.7450211,0,False,,LAVAX,14.7330333,16,4.280000000000655
15934,TGW609,360,104.1065392,1.693965281,15940,360,6,,1,0,1,0,257.984181,180.010436,10400.0,180.0,5,1800,39.7180968,199.3763403,0,True,9.0,NYLON,8.639467542,16,4.280000000000655
15994,BAV0307,360,104.1059332,1.830734219,15996,360,2,,1,0,1,0,227.2831921,179.3137967,13000.0,180.0,5,1800,54.28334406,193.9757602,0,True,9.0,PASPU,17.33476693,16,10.11199999999917
15994,BAV0307,10000,104.1059332,1.830734219,16008,3000,14,,1,1,0,0,227.2831921,179.3137967,13000.0,180.0,5,1800,54.28334406,193.9757602,0,True,9.0,PASPU,17.33476693,16,10.11199999999917
16018,TGW609,220,104.1822789,1.639846768,16027,230,9,,1,0,0,1,264.6577118,55.62469409,7525.0,180.0,5,1800,38.1514799,214.4774448,0,False,,NYLON,8.822788799,16,3.2160000000003492
16142,SIA935,220,104.8595104,0.743442792,16177,220,35,,1,0,0,1,262.9226329,291.3221238,22825.0,180.0,5,1800,118.5006371,305.1580252,0,True,5.0,IKIMA,6.84696004,18,6.399999999999636
16153,CPA759,11000,104.1925754,2.02359234,16174,14500,21,,2,1,0,0,209.7095237,1.123771014,14975.0,180.0,5,1800,77.53082154,197.0572414,0,False,,PASPU,10.52862676,18,5.536000000000058
16173,TGW609,200,104.2124491,1.819144981,16177,230,4,,1,0,1,0,229.7361697,3.413308281,7062.5,180.0,5,1800,57.12394278,205.8989205,0,False,,PASPU,22.12388263,18,7.199999999998909
16173,TGW609,5000,104.2124491,1.819144981,16196,3000,23,,1,1,0,0,229.7361697,3.413308281,7062.5,180.0,5,1800,57.12394278,205.8989205,0,False,,PASPU,22.12388263,18,7.199999999998909
16185,BAV0307,180,104.1963841,1.923385598,16187,175,2,,1,0,1,0,217.5847113,3.403256012,9575.0,180.0,5,1800,67.10322689,200.1950053,0,False,,PASPU,12.39466099,17,3.7119999999995343
16362,PAL507,8000,104.3947374,1.204168182,16385,8500,23,,1,1,0,0,206.4850485,304.1205834,9075.0,180.0,5,1800,48.30394525,290.6029125,0,True,6.0,RUVIK,7.001043767,17,3.7440000000005966
16447,CAL753,9000,104.1051418,2.169341985,16467,2500,20,,2,1,0,0,221.6883547,179.8305135,16000.0,180.0,5,1800,91.26174023,188.2036741,0,True,9.0,PASPU,20.10731774,17,4.074660000002041
16455,CTV510,9000,104.3815769,1.212546062,16468,9000,13,,1,1,0,0,198.7964986,307.5146587,10050.0,180.0,5,1800,46.60802165,290.1635704,0,True,6.0,RUVIK,5.26881701,17,3.2960000000020955
16533,CAL753,200,104.1050952,2.068816982,16540,195,7,,2,0,1,0,200.2826655,180.4436726,14975.0,180.0,5,1800,80.21326976,189.3393082,0,True,9.0,PASPU,8.991685738,17,4.170669999999518
16550,SIA935,270,104.4811643,1.104824189,16561,270,11,,1,0,1,0,225.9141814,334.8981839,14400.0,180.0,5,1800,61.5794089,297.0930811,0,True,5.0,LAVAX,7.202097513,17,4.170659999999771
16577,MMA231,11000,104.1051193,2.319325581,16592,9000,15,,1,1,0,0,233.9456033,179.758536,17000.0,180.0,5,1800,107.7944643,186.9374507,0,True,9.0,PIBAP,20.68476238,17,8.191999999999098
16610,CTV510,8000,104.2480989,1.303953734,16629,2500,19,,1,1,0,0,192.2667073,304.5107183,9075.0,180.0,5,1800,29.50939611,281.533214,0,True,6.0,DOVAN,4.620748935,17,4.416000000001077
16843,SIA935,360,104.2347295,1.277160645,16848,360,5,,1,0,1,0,227.3657287,336.9855515,8775.0,180.0,5,1800,28.82879322,287.9383384,0,False,,DOVAN,6.013831484,20,4.608000000000175
16866,CPA2073,140,104.1051884,2.243545465,16872,140,6,,2,0,1,0,235.2114714,180.0,16275.0,180.0,5,1800,99.43600669,187.5282564,0,True,9.0,PASPU,28.31243751,20,5.824000000000524
16885,SIA153,220,104.1052814,2.464599553,16920,220,35,,1,0,0,1,255.9318214,180.4022721,18725.0,180.0,5,1800,123.8471889,186.0431216,0,True,9.0,PIBAP,4.621018797,19,6.463999999999942
16905,SIA935,6000,104.2312519,1.348251253,16921,6000,16,,1,1,0,0,228.4728725,4.340033302,8050.0,180.0,5,1800,27.05833337,272.0632418,0,False,,DOVAN,3.043225078,19,4.399999999997817
16947,CPA2073,175,104.1594354,2.150853015,16957,170,10,,2,0,1,0,240.5496346,138.5234116,14350.0,180.0,5,1800,90.30539062,192.1832803,0,False,,PASPU,19.05098953,19,7.680000000000291
17013,MMA231,8000,104.1369891,2.042246517,17032,6500,19,,1,1,0,0,196.9337978,239.9350596,9050.0,180.0,5,1800,77.97458495,192.2636212,0,False,,PASPU,7.02222748,18,3.7120000000031723
17114,SIA153,175,104.16012,2.165084817,17121,175,7,,1,0,1,0,241.0221692,137.1235454,13575.0,160.0,5,1800,91.86867341,192.0214028,0,False,,PASPU,20.57171511,17,4.943999999999505
17193,CPA2073,200,104.2221275,1.841491554,17232,210,39,,2,0,0,1,233.5358353,171.6435107,9650.0,160.0,5,1800,59.8291461,205.7864855,0,False,,PASPU,20.74790463,18,4.671999999998661
17277,TGW265,360,104.831543,0.753587577,17284,310,7,,1,0,1,0,238.3845527,291.5869099,19675.0,160.0,5,1800,115.3120554,305.589066,0,True,5.0,IKIMA,10.1547575,19,4.80000000000291
17336,SIA153,150,104.105072,1.941973139,17339,150,3,,1,0,1,0,232.0948357,180.0,9000.0,160.0,5,1800,66.33482916,191.3143872,0,True,9.0,PASPU,5.03416548,18,10.623999999999796
17789,TGW265,9000,104.4034951,1.154251099,17811,9500,22,,1,1,0,0,202.536914,191.8394246,10050.0,160.0,5,1800,51.39806933,296.0208256,0,True,4.0,LAVAX,5.709018806,18,4.064000000002125
18107,TGW281,220,104.5743587,0.965726171,18156,230,49,,2,0,0,1,277.1238039,328.8400873,15975.0,160.0,5,1800,78.37224438,303.7260519,0,False,,IBULA,13.8311955,15,4.096000000001368
18157,TGW265,4000,104.3307652,1.247553416,18175,2500,18,,1,1,0,0,220.8049046,304.0226236,8075.0,160.0,5,1800,40.00017313,287.716666,0,True,6.0,RUVIK,1.58418121,15,5.04320000000007
18157,TGW265,325,104.3307652,1.247553416,18164,330,7,,1,0,1,0,220.8049046,304.0226236,8075.0,160.0,5,1800,40.00017313,287.716666,0,True,6.0,RUVIK,1.58418121,15,5.04320000000007
